"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 00:12:35 IRKT 2026","Sat Jan 03 00:12:35 IRKT 2026","474","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией и невалидными ингредиентами (wrong_hash_format)","ОР: Система возвращает ошибку 400/500"
"passed","Sat Jan 03 00:12:53 IRKT 2026","Sat Jan 03 00:12:54 IRKT 2026","541","tests","test_user","TestUserLogin","","","Попытка авторизации пользователя с неверным паролем","ОР: Система возвращает ошибку 401 Unauthorized"
"passed","Sat Jan 03 00:12:57 IRKT 2026","Sat Jan 03 00:12:58 IRKT 2026","490","tests","test_user","TestUserUpdate","","","Изменение информации об авторизованном пользователе","ОР: Данные пользователя успешно изменены"
"passed","Sat Jan 03 00:12:39 IRKT 2026","Sat Jan 03 00:12:44 IRKT 2026","4561","tests","test_order","TestGetOrder","","","Получение заказов авторизованного пользователя","ОР: Возвращается список заказов пользователя со статусом 200"
"passed","Sat Jan 03 00:12:51 IRKT 2026","Sat Jan 03 00:12:52 IRKT 2026","574","tests","test_user","TestUserLogin","","","Успешная авторизация уже зарегистрированного пользователя","ОР: Пользователь успешно авторизован"
"passed","Sat Jan 03 00:13:03 IRKT 2026","Sat Jan 03 00:13:04 IRKT 2026","452","tests","test_user","TestUserUpdate","","","Попытка изменения поля неавторизованного пользователя (name)","ОР: Система возвращает ошибку 401 Unauthorized"
"passed","Sat Jan 03 00:12:13 IRKT 2026","Sat Jan 03 00:12:16 IRKT 2026","3609","tests","test_order","TestOrderCreate","","","Создание заказа с авторизацией (ингредиентов: 3)","ОР: Заказ успешно создан, возвращается номер заказа"
"passed","Sat Jan 03 00:12:25 IRKT 2026","Sat Jan 03 00:12:26 IRKT 2026","483","tests","test_order","TestOrderCreate","","","Создание заказа без авторизации (ингредиентов: 5)","ОР: Заказ успешно создан, возвращается номер заказа"
"passed","Sat Jan 03 00:12:48 IRKT 2026","Sat Jan 03 00:12:48 IRKT 2026","446","tests","test_user","TestUserCreate","","","Создание пользователя, который уже зарегистрирован в системе","ОР: Пользователь не создан, запрос возвращает ошибку"
"passed","Sat Jan 03 00:12:56 IRKT 2026","Sat Jan 03 00:12:57 IRKT 2026","467","tests","test_user","TestUserLogin","","","Попытка авторизации пользователя без заполнения одного из обязательных полей","ОР: Система возвращает ошибку 401 Unauthorized"
